Request,Response
Hi,Hlo
"Hiiii, Vpvp mn",Poer
Bmz btx,"Bmz bnbn, Ntrb, Oe x"
Kbs,Nanjye ntrb
"Kbxxxx, Thnk God 2, Undushij ik c ngg",Ntcy Wallah
Subiz x,Ahubw Jya Fb
Bambwiye 80%,"Band, Bakubwiy ik x, Bnz ubwr"
Ngo maze Gukoresh 80% Bya Mbs Naguze,MTN
Ngo maze Gukoresh 80% Bya Mbs Naguze,"Yeweeee jy ubnz anakonotse ndq, Nzagaruk yesu ajere"
Hhhhh,Ntrb
Tujyee Tukamanuka Fb,Suftx
"Hhhhhhhhhuu umvuy, Jy ndajy fb, Ashizem flx",Hhhh
Saw nteb,Ntrb
Ryosha,"Hhhhhhh mrc, Kbxxxc, Ntrb"
,Wee
"Yooooooo, Ndakubon, Mtn ibayakwitayeh",Cyn kbs
Woec,Hhhhh
You started a video chat,Video chat ended
"Oy x ntubwr kowarugiy kmpmkgr, Vd cht mn",Cyn
Hhhhhh,Kbr
Ntcy,Sawa
Yiii,Oka
,Hlo
hi yooooo,Bmz gtc
flx ntrb,Grt
yp,Jya fb mfitem mbs nyeya mhn
"ambioooooo, mfsh nyn",Icy
ik x,Eeh mhn
Uracyar maso,yg mn kbr
Ark mhn wajyiy uruhuk mhn,nt bitots kbxxxx ntby
Es wllh uraryam ukabibura,yg mn
,Ntago byakanga mhn ahubw wasang ub ufit byinshi biguhuz
rkrk ntaby nt nimv nshk kurym nt rym,Eeeh
yh,Noec mhn  Uba Ur chat gusa cg?
gs tsuuuuu,Okay
,
Yoo,yhyh
Bmz gtx,nz oe d
Flx tuh,
Urimukix mwn,ntcy
Yoo,Mrng
gd.aftr nn,Eee
Bmz gtz,"flx, oe"
Flx tuh,Noec mwn woe wariy
"oy, or, *e",Nsoje mukanya kbs
Noec k watinz,"ntumbz, impamvnjy, uzik.nyirymy"
Guher tondox,yg
Cyzee nae urarenz kbx,gt.x
Ukaryama igih kingana utyo mhn cg waryamy utinz,oy
Eeeh,None
Ako kana Kameze Nkae,"yesuuuuu , gt, x.ubw"
Kwijyir gang,hjjhhhhhhhhh oy mn
Wllh mz,ikiii
None,Yoo
yhyh,Nigutex rubibi
hhh n nz,Noeh iry warikuyh
niry grndp mn,ndft
yhyh,shn oec ub urigukor icy
cht nokumv msc,Iyih ngom
Hi,Hiii
Amkrc,N mz ayae c
Ni wanee,Wabony ko za project zajee
"Cyz n flx mn whlll, 444",Yegooo
Ubu niyo Backup,Cyzaaaa whllll   nz
Mhn Ndikubisaz by 444,Ahubw nkusuye ryar
Any tym,Sureee
Yg,Saw nzakurabura
Ntrb,Mrng
Mrng,Waramutsutex
"Cyb weee, Oe",Ni nez kbs
"Cyzaaaa, Ibizm c",Eeeeh
Ngah um za pic zae,"None, None, None, Nutwooo, None, None"
Hhh,Yhx
Holla,Hiii
Wariyec,"Yg, Kareee"
Ubu Njye nibw mbirih bit serie,"Hhhhh, Yesuuuu, Wagiy ury kare, Kuelii"
Shn mwn Nsigay nirirw mukazi kose,"Hhhhh, Akah x rusine"
Ku Editing Photos,"Cyzaaa, Crageee"
Byananiye mwn,None
"Nih nah oe wahagez, Jy ntanubw nameny inzir ihangez",Hhhh I got boss mentality
Hhh Ndikwikina Mucecu,"Nuknuk, Rusineweeeee komerezah"
Gxr,Yego bibi
Hhhhhgpf,
Ark Mhn wamae iy profile yuw mwn,"Hhhhh ik, Urayishk x"
Cynee,None
Uyu nindex noeh,Siw x ur prfl
Nyne ninde ko Atari woe,Hhhhhh numwn wjy
,Wabyarany nande
Hhhhhh n pop wumwan,Ariw ndeeee
Umgb nyn,Eeeeeeh
Gabyyii,"Ahreeee, Oyaaaa"
Eeeh,
Index noeh,Umgb ark
Ex uwuh mugab,Bamwt S ntag wamumny
Gxreee,Um pic yee
Ndanzeeeee,Bikor ark Nanjy usigay umish mwn
"Hhhhhh, Mukany",Ntrbii
Ndategereje,Yhyh
Ntrbii,Cyzeee
Merci,Narinagizeng wagoswe
"Hhhhhh, Derien, Nibund byibuts, Tondo",Ntrbi
Kuba wabyibuts,None
"Yhyh, Ehhhhh zb x",
Gapf nab ntg yagushyizeh,Knd Urabinga
Urapinga,Warwan we x simpis mbibon mu srchnz
Wapi Yamvanyeh kareeee,
"Zib, Ndakuz",Noec Mhn Urikubona Ari Pirate
"Hhhh, Yg, Biragaragar",Hhhh
,Ndafashwe Ndakasui
Ng narind mur Practice ya Edit ndakaswibare,Hhhhhhhh ngh reb ish name ye wayishiz imber
Ntakundii,Nkusurex
Kombuz Aho njya noeh,"Hhhhh, Nghoooo x, Hhhhhh"
Seriex,Oyaaa bas ejoooo mn
Subw Ubundi ubw Nge nagusur uty nkutunguy mwn,Nzareba  ntrb nibirya nzaza
Nguhamagar vd,"Hhhhhhh yhyh uzabinkorer, Ntrb gus kur tsp kuk ig am not ste"
Yg I promise nkuk nabikubwiy skl,Rekanze wait 4min
"Hhhh yhyh, Ntrb",Eeee Uzik ntagose
Ntagosw,Rekanz
Mbanz Njy Kugura Me2U nakotoraaa,"Hhhhh yhyh, Gusa wambar kuteriii"
Cyneee,Harya hehe
"Hhhhhh, Ikiiii",Nkuahamagre hehe
Tsap cg IG,"Bnz unyandikir, Tsp, Kuk nabuz nmbr zoseee"
Wambonyee,Hhhhh cyn
Noec Ko Utayifashee,Shn yahis inziman
Hhh,Umv mdakaui
Mormg,Mrng
Bmz gtx,"Nz, Oe x"
Fkx,Flx
Cyzaaaaa,Supp
Xp,Bmz gtx
Nz oe x,Flx
Cyz,Oghee
Um ako ga pic wakinue,"Hhhhhh, Akah"
Ako wari Wapostinz mwn,Kur story
"Ikiiiii, Yp",Mrng
Gd after nn,
Narinikanz,"Hhhhhh, Kbrk"
Gd after nn Yaya masah,Hhhhh umv reb pst c
Yande,Yae
Nashonnyee,"Hhhhhh, Suft c, Mn ibnt birih easyyy"
Ndafy,Hhhhhhh cyn
Aka Tho tuziranye,"Hhhhhhh, Zb c"
Siy caption mbonyex,Sasa
"Hhhhhh, Yg nyn",Noe nzibe kubr
"Hhhh, Ntcy duhh",Gxr
Reka nirire,"Hhhh, Ngh ryaaaa"
Eeeh,Ng gtx
"Hhh n nz, Og",Hhh
Ndikumv ar flx ma tho,"Hhhhhhh, Umv yeeee"
Mrng,Bjr
Bmz gtx,"Nz, Oe x"
Gxr,Jya fb
Hhhhh ntrb,Mhn birikungor
Ahubw,Naragosw Uma kagaa pic kae
"Ibik c knd, Akah c raaaa",Kakandi wa postinz
Nyibuts,Gxr
Ngah,Uma aga pic kae kazim
"Hhhh, Tungh",Nguki
Tungahe,Utwo ushak
"Hhhh, Mukny",Ntrbii
Yg,Hi
Hii,Bmz gtx
"Nz, Oe",Flx umusa
Yg uwuuuu,Noec shn Ng bmz gt
"Nz, Oe x",Ninez mwn
Bamaye  Tee ya Bravan wakinuee ejo,"Ikiiiiii, Tee???"
T-shirt,Nind wayiguhy
Mhn Ejo Ahantu Sis akor Akorana Nabo muri Fam ye Rer nagiyeyo musanz bisanzwe nang bahita bakama tuh,"Nuknuk nyn, Uriyag fam kbr ss wae"
ee foo,Ngak
"Hhhhh nuknuk shn kabay, Mi boy weeee",Boi naso
"Hhhhhh, Ntrb gengo weee",Hii
Hi,Naec
"Hhhhhh, Yg",Amboo
Ndabona zararyoshyeee,ziteeee ubw
Uko nyineee,Ahhhh
Noec shiaa,N ns
Hy,Hy
Btx,Ni nez kbx woec
Sorry irayobye naringiye kuyiha undi,Ni sw2
Eeeh ni nez,Hm nihex
Karongi,Oex
Kicukiro,Ahagana hehex
Kagarama,Eeee
Ok,Wamae pic yaex
None,None
Oex,Wiga kangahex
S3 Woec,S1
Oex wama pc,None
Ima pc,None
None,None
None,Nice
None,Noec wigahe
Kuzisibye,Shn simbikund k pic zanjy Har und uyitung tuh
Noec Element Ni Bro Wae,So ngewe ko nyiguhaye
,Oya
Kubera,On ur Prof
Eeeee,Nuko tugira icyo dupfana
Oookay,Yh
None,None
H6,Ark bro warasaz
Ni jock wan,Nokubi posting mhn
Nns biriy birarenz mn,Oky
Mbwir,Yego
Gxe,Kur public story mwn
Nns k ntae ndry wabo??,Hhh
Gxr,Ik x mn
Ec mhn mur Ba Manzi Bangah,10
None,yew
Yoo,bmz gtx umuhung
Ni Og t ng kbx,fooo nsigay mbona wirirw ig urikuh twik
Urambeshyey kbx,umvayew
Iby bint nabirekey abant nkamwe mukiri urubyiruko,hhhhhhhhhhhhhh njew wari wambona mposting bro kur IG
Agashya x karihe k nabonye umugabo wamarinete yiyamamaje,Hh
index kagamex,Hh ndavuga umuhungu wa Ferdina
hhhh njewex nambara amarinete mwn,Hhhhhh
Yew,Yooo
Krgt,Shn ntrb umusa
Og ting,Ark ng umujyi uwufite bugwate
Wapi gxr,Hhhh
Abantu mumaz kugafata ntag mujya mwemera regaaa,Taravisiiii
Yew yew,Totus
Bmz gt,Poel kbx umuhu
Oghee,Hi
Sup,Brh
Yooo,Bmz ng utee
Flx kbc,Brh
Nnx andi mkr ng bihagaze bte wlh,Shiaaa
Ni umuneza brd,Noec uracy betting
Wp pt,Kuberaaa x
Ndabona hanze byarakaze,Euh niko bmz mn
Cyanee,Uzajy kwg he x
Bldmn,Shn
Sindamenya,weeeee
Yoo,vp
kutagiy skl x,Frs baba
Niga nitahira shiaaa,namba nae shn
ndumv umz nz wlh,ngewe ubu nibereye skl
Wigahec,iprc
,Wiganayo nabande
seka shn pt,loic gsa
Noec wiga IPRC yahe,ngoma brh
Eeeh,Bro siwiga lycee
hhhhhhhhhhhhhh,lycee yahe x nnh
ninde wabikubwiy x,Eeeh
Narinzik ariho wiga,Weih
Like back,You are now connected on Messenger
hy,Hello
how are u,"m fine thanks you"""
fine okay,Hi
Hi,How are u
"m fine you""",Fine
Hello,Hello
Hello,Hi
Hi,How are u
Good how about you??,Good
Ok,None
I like y**,Huh
,What do you meann??
Mean?,Huh?
A contact set their own nickname to BAD GIRL BAT CUTE,How are u BAD GIRL BAT CUTE
"m finee""",Hi
Hi,I miss u
I miss you too,I back
Haha okiee,U send okiee and me okiee hhhhhh
Hahaha,You lough
Why?,
Hmm....how old are you?,Why
Nothing,1900
Huh?,You
Secret haha,Joke
"m 12 years old""",Why is the same years be serious
Hmm...,Ahhhh shit you joke I tell you serious
,Omg
I hate youuu!!,Hhmm why
"m kid""",Tsskk!!
Tsskk what mean,It means that i am angry!!
"t like it you send me this word""",Kkkkk
Kkkk you hate me why u send me ok,Why?
You tell me bad word,"t"""
Ok,Okiee
You make control your word,Huh?
You Lough again,Hey
Hi,Do you know the meaning of dp??
No,Ohh okiee
What you mean,Nothing
What mean dp,"t know"""
You set your nickname to Brown Evans Chris.,"Hey,i have one question where do you live"
In Canada,You
Philippines,Why do you know a Korean
What do you mean?,Nothing ok i send funny pictures
Ok,None
None,Hey can you send your real pic
None,None
None,Heyyyyyy!!
I said cab you send your real pic,Can*
Private,Why?
None,"m 12 years old"""
Finish,"m sleeping"""
None,None
Tell me last word before sleep,Sup
Sup ghee,Yo
Bmz gtx,"Nz mn, Woe c"
Shn Ni gud ntrb,
Hm nihex,Sup
Vp,Flz
Es ko utab uvug brud,Umzt x Thierry
Vip mn,Hhh
El maestro!,Kuseka se mn
Ntago urikwiye,Toka
Hh,Twaserera
Imagine twaserereye,Hi
None,ese man ramadhan vp mn kutakivuga
Wp ndavuga ahubwo oe,Usigaye wigahe
Uganda,Ntrb that is good
Rmadhan give me you number of tgo or  airtel then i call u,0739210753
Salam Imva Nkubaze Imena Abdoul Karim Hari Commination Ye Hagati Yanyu Man Ko Mushaka,Harya ubw nuwuh
Wambaraga Amarinete,Ehh namwibuts
Ngah Mbwir,Gus simpuheruk
Nonese Ubwo Man Na Number Fb Ig,Wp peuh
Vp,P.o.a
Kubuzeh,Wp ndahar
Oy,Wallai pee
Ntrb,You are now connected on Messenger
bite sha peti,Heritier umzt
NEZ,inje i kzgr
Uva mn turiryamiye wanze kuva Ku w f,Kanze
Mn hari akantu ndikureba,None
Karebe ibare,Ubu nisangah
NdagusaturA,Va
None,None
None,Kame ak g pic
Urinde,Thierry
Vp,"Yola, Ak usigaye uryoshye"
Bmz btc,Ntakuryoha wamuhungu wee
Ahubwo mbwira boro zatuma Mbona Mulla Yaba Online Yaba Ahari hose ndi ready,None
Vp,Yewe
Bmz gtx,Yew
Sup,Yo
Sorry Bro For what happen on you and your family And stay strong Because in life we met that things Rest in Peace your lovely dad was Good man,Merci bld
Yh,Ahubw Njyew Na Juru Turashk Kugusura
Yh bandabuye,Nyne duh gahundaa
Noec,You started a video chat
Video chat ended,Ni iwanyu
Ex Mhn Uriy play,Niyaex
Kafashwe ma guy,Seriex cg
None,None
,Sup
Sup,Yooo
Ese mh iriya video wamae tsap warugiyehe,"Eeeh, Kwa tante"
None,
"Ngaho daa, None",Wamuriy copy gxr
"None, None, None, None, None, None, None",Noec ubw ur mu sxr mwahuje boro gut
Yayibye tsap,Mbega ng aka nigga karanyemeza
Hhhh,Kande
Bakita ceka kur fb,None
Ibise ni ibiki,Umvase cyz ma guy
Sufatax,Ogheee
Niy Backup,Yime gcz
None,You started a video chat
Video chat ended,Umvase Mhn  Ngewe na Kivumbi Tukugweho
Ndaz Ntrb mhn,Ark Kelly we Sinz
Haraba Hari bande,Benshi
Noec Mhn Ko Na Cyangwe Noeh Mfite Raa,
Ndazazana Aka Ga Kechi,None
"Haraba hari abantu bakorana na kagame urumva, Ugomba",Noec Mhn Ni Abantu Bakuru
Naba Skl Bari Buz,Eeeh
Narinikanz,ewaaan
Nguki,Noec Mhn Ako Ga Kechi
Nzazane,Umvase
Uzabe ariyo upostinga klf,Ig
Ndamanutse,None
Sup ghee,Yooo ma guy
Bmz gtx,Ndaho mn
Urimuri Hangover,Wp wp
Ntrb,Ewaaan
Noec shn,Umvaseee
Yooo,Bmz gtx
Jama,Ndahooo mwan
Noec shn iriya play,Eeeh niwane
Suba Wanyiriyehox ntrb,Gute c knd
Noec Konkubaz Ng Uzaba Ugifite Next Week nzaz Nkabon Urakwamy,Wabimbajije hehe c
Tsap,Eeeeh
Noec nyne,Umvase brah
Yo,Iyi boro igur angah
None,Baza cedro
Noec woe Wayibarir angah,Sunzi sinarenza 22
Gxr,Hhhh
Nae Ur Fake,Uzik downtown Abajama Bose Banshiye 32k
Ndagirang ngwe mur 29k bakwamy,nago nayo nayabaha
Sw,Hhhhh
Ntrb,"None, None"
Noec ubw Klv Ngure Iyih boro nzim Iri Unique,Ndabizi c
Umv knd,Mwan nese nkubwire gute
Ntrb,Ngew Ngiye gutanga 29k ntakundi
Gxr urikigoryi,Utes klv
Nimenshi ayo mafra,Noec Mhn 29k
Sayo Mhn,Noec woe Iriy flight Wayiguz angah
25,Noec ubw ngew kub nongeyeh 4k birarenz mjm
"Saw ubwo, Ibyo nibyawe",Ntrb
Ngiyo,None
None,Waziguze noneh
Cyanee,Cyz
Siwa fresh,"Ahaaa, Ryoha"
Mhn Uzi Ukuntu Ikomeye Urukwi,Cyz nanjye nzayigura
Noec wigirag Amaki,Ako pana ayo mafra
Mhn Nabanj Kwikaza Nzenguruk Dwn twn hose ndaheba mwn,Hhh
Shn Wagiy ubirek,Ahaaa
Shn bonne Reka mene,Wlh bonne ma guy
Kutaryam mhn,Mwan nibwo tukiva aho twari twagiye
Eeeeh,Mutashy Saa 1am
Egoo,Ntrb
Ewaan,Bmz gtx
Ewaaan,Gxr
Gahwere,Hehehe
Sizo,Ese Mhn Nkubwir Ark Keep it secret
